id,srno,state,city,pm10,monitors-p10,readings-pm10,pm25,monitors-pm25,readings-pm25,year
452,56,Maharashtra,Aurangabad,74,3,350,,0,0,2019
453,57,Maharashtra,Badlapur,108,1,187,,0,0,2019
454,58,Maharashtra,Chandrapur,133,6,651,,0,0,2019
455,59,Maharashtra,Jalgaon,60,3,420,,0,0,2019
456,60,Maharashtra,Jalna,97,2,276,,0,0,2019
457,61,Maharashtra,Kolhapur,85,3,431,,0,0,2019
458,62,Maharashtra,Latur,86,3,515,,0,0,2019
459,63,Maharashtra,Mumbai,125,3,259,40,1,94,2019
460,64,Maharashtra,Nagpur,101,7,852,39,1,78,2019
461,65,Maharashtra,Nashik,63,4,781,,0,0,2019
462,66,Maharashtra,Navi Mumbai,54,6,1000,,0,0,2019
463,67,Maharashtra,Pune,143,3,208,,0,0,2019
464,68,Maharashtra,Sangli,67,3,488,,0,0,2019
465,69,Maharashtra,Solapur,74,2,246,,0,0,2019
466,70,Maharashtra,Thane,95,3,145,,0,0,2019
467,71,Maharashtra,Ulhasnagar,129,2,206,,0,0,2019
468,72,Maharashtra,Vasai-Virar,,0,0,,0,0,2019
469,73,Meghalaya,Byrnihat,103,1,121,7,1,36,2019
470,74,Nagaland,Dimapur,77,7,610,,0,0,2019
471,75,Nagaland,Kohima,95,2,259,,0,0,2019
472,76,Orissa,Angul,100,2,204,48,2,204,2019
473,77,Orissa,Balasore,86,3,313,46,3,312,2019
474,78,Orissa,Bhubaneswar,99,6,554,29,6,348,2019
475,79,Orissa,Cuttack,106,3,266,47,3,202,2019
476,80,Orissa,Kalinga Nagar,106,2,132,,0,0,2019
477,81,Orissa,Rourkela,118,4,416,47,4,416,2019
478,82,Orissa,Talcher,123,2,208,47,2,208,2019
479,83,Punjab,Amritsar,102,2,122,,0,0,2019
480,84,Punjab,Dera Baba Nanak,153,1,68,,0,0,2019
481,85,Punjab,Dera Bassi,170,2,220,,0,0,2019
482,86,Punjab,Gobindgarh,70,3,391,,0,0,2019
483,87,Punjab,Jalandhar,98,4,276,,0,0,2019
484,88,Punjab,Khanna,142,2,231,,0,0,2019
485,89,Punjab,Ludhiana,137,4,522,,0,0,2019
486,90,Punjab,Naya Nangal,165,2,201,,0,0,2019
487,91,Punjab,Patiala,91,2,263,,0,0,2019
488,92,Rajasthan,Alwar,172,3,306,,0,0,2019
489,93,Rajasthan,Jaipur,141,9,933,,0,0,2019
490,94,Rajasthan,Jodhpur,240,9,644,,0,0,2019
491,95,Rajasthan,Kota,129,6,626,,0,0,2019
492,96,Rajasthan,Udaipur,156,3,312,,0,0,2019
493,97,Tamil Nadu,Chennai,86,11,767,36,7,257,2019
494,98,Tamil Nadu,Madurai,73,3,212,32,3,46,2019
495,99,Tamil Nadu,Trichy,79,5,350,46,5,167,2019
496,100,Tamil Nadu,Tuticorin,73,3,220,23,3,95,2019
497,101,Telangana,Hyderabad,99,10,1091,40,8,558,2019
498,102,Telangana,Nalgonda,59,2,198,38,1,16,2019
499,103,Telangana,Patancheru,83,1,96,41,1,58,2019
500,104,Telangana,Sangareddy,87,3,313,44,3,207,2019
501,105,Uttar Pradesh,Agra,186,6,850,110,6,530,2019
502,106,Uttar Pradesh,Allahabad,222,5,490,,0,0,2019
503,107,Uttar Pradesh,Anpara,171,2,204,,0,0,2019
504,108,Uttar Pradesh,Bareily,200,2,214,28,2,36,2019
505,109,Uttar Pradesh,Firozabad,214,3,309,,0,0,2019
506,110,Uttar Pradesh,Gajraula,229,2,183,,0,0,2019
507,111,Uttar Pradesh,Ghaziabad,208,4,351,119,4,297,2019
508,112,Uttar Pradesh,Gorakhpur,163,3,286,,0,0,2019
509,113,Uttar Pradesh,Jhansi,295,2,234,,0,0,2019
510,114,Uttar Pradesh,Kanpur,96,9,822,66,1,88,2019
511,115,Uttar Pradesh,Khurja,198,2,195,,0,0,2019
512,116,Uttar Pradesh,Lucknow,195,8,1831,,0,0,2019
513,117,Uttar Pradesh,Meerut,184,2,118,,0,0,2019
514,118,Uttar Pradesh,Moradabad,208,2,181,,0,0,2019
515,119,Uttar Pradesh,Noida,213,4,375,105,4,387,2019
516,120,Uttar Pradesh,Raebareli,240,3,162,,0,0,2019
517,121,Uttar Pradesh,Varanasi,212,5,561,,0,0,2019
518,122,Uttarakhand,Dehradun,137,3,207,,0,0,2019
519,123,Uttarakhand,Kashipur,168,1,70,,0,0,2019
520,124,Uttarakhand,Rishikesh,132,1,82,,0,0,2019
521,125,West Bengal,Asansol,115,3,312,81,1,104,2019
522,126,West Bengal,Barrackpore,173,3,310,66,1,104,2019
523,127,West Bengal,Durgapur,,4,415,73,1,103,2019
524,128,West Bengal,Faridabad,104,0,0,,0,0,2019
525,129,West Bengal,Haldia,86,4,424,35,1,106,2019
526,130,West Bengal,Howrah,175,4,420,68,2,209,2019
527,131,West Bengal,Kolkata,184,21,2115,56,4,416,2019
528,132,West Bengal,Raniganj,186,3,312,,0,0,2019
529,1,Andhra Pradesh,Anantapur,60,3,,31,1,,2020
530,2,Andhra Pradesh,Chitoor,43,5,,18,2,,2020
531,3,Andhra Pradesh,Eluru,60,3,,,0,,2020
532,4,Andhra Pradesh,Guntur,52,2,,24,1,,2020
533,5,Andhra Pradesh,Kadapa,46,5,,,0,,2020
534,6,Andhra Pradesh,Kurnool,53,4,,25,4,,2020
535,7,Andhra Pradesh,Nellore,57,4,,27,1,,2020
536,8,Andhra Pradesh,Ongole,49,4,,20,1,,2020
537,9,Andhra Pradesh,Rajahmundry,58,3,,,0,,2020
538,10,Andhra Pradesh,Srikakulam,61,4,,34,1,,2020
539,11,Andhra Pradesh,Vijaywada,56,9,,22,7,,2020
540,12,Andhra Pradesh,Vishakhapatnam,75,8,,31,8,,2020
541,13,Andhra Pradesh,Vizianagaram,61,4,,24,2,,2020
542,14,Assam,Guwahati,86,6,,53,3,,2020
543,15,Assam,Nagaon,74,1,,,0,,2020
544,16,Assam,Nalbari,54,1,,,0,,2020
545,17,Assam,Sibsagar,49,2,,,0,,2020
546,18,Assam,Silchar,43,2,,,0,,2020
547,19,Bihar,Gaya,,0,,,0,,2020
548,20,Bihar,Muzaffarpur,,0,,,0,,2020
549,21,Bihar,Patna,146,2,,,0,,2020
550,22,Chandigarh,Chandigarh,92,5,,60,5,,2020
551,23,Chattisgarh,Durg-Bhillainagar,60,4,,31,4,,2020
552,24,Chattisgarh,Korba,46,3,,19,3,,2020
553,25,Chattisgarh,Raipur,53,2,,,0,,2020
554,26,Delhi,Delhi,194,7,,115,4,,2020
555,27,Gujarat,Ahmedabad,101,8,,28,8,,2020
556,28,Gujarat,Rajkot,97,2,,27,2,,2020
557,29,Gujarat,Surat,100,3,,37,3,,2020
558,30,Gujarat,Vadodara,92,4,,27,4,,2020
559,31,Himachal Pradesh,Baddi,108,1,,,0,,2020
560,32,Himachal Pradesh,Damtal,59,2,,,0,,2020
561,33,Himachal Pradesh,Kala Amb,77,2,,37,2,,2020
562,34,Himachal Pradesh,Nalagarh,86,1,,,0,,2020
563,35,Himachal Pradesh,Paonta Sahib,75,2,,39,2,,2020
564,36,Himachal Pradesh,Parwanoo,46,2,,10,1,,2020
565,37,Himachal Pradesh,Sunder Nagar,49,2,,,0,,2020
566,38,Jammu & Kashmir,Jammu,167,3,,33,3,,2020
567,39,Jammu & Kashmir,Srinagar,155,3,,,0,,2020
568,40,Jharkhand,Dhanbad,182,3,,,0,,2020
569,41,Jharkhand,Jamshedpur,104,2,,,0,,2020
570,42,Jharkhand,Ranchi,106,1,,,0,,2020
571,43,Karnataka,Bangalore,67,7,,,0,,2020
572,44,Karnataka,Devanagere,68,3,,11,1,,2020
573,45,Karnataka,Gulbarga,81,1,,,0,,2020
574,46,Karnataka,Hubli-Dharwad,52,2,,17,2,,2020
575,47,Madhya Pradesh,Bhopal,158,4,,,0,,2020
576,48,Madhya Pradesh,Dewas,66,3,,39,3,,2020
577,49,Madhya Pradesh,Gwalior,139,2,,53,2,,2020
578,50,Madhya Pradesh,Indore,75,3,,33,3,,2020
579,51,Madhya Pradesh,Jabalpur,77,2,,31,2,,2020
580,52,Madhya Pradesh,Sagar,64,2,,23,2,,2020
581,53,Madhya Pradesh,Ujjain,78,4,,34,4,,2020
582,54,Maharashtra,Akola,56,3,,,0,,2020
583,55,Maharashtra,Amravati,64,3,,,0,,2020
584,56,Maharashtra,Aurangabad,74,3,,,0,,2020
585,57,Maharashtra,Badlapur,64,1,,,0,,2020
586,58,Maharashtra,Chandrapur,135,5,,,0,,2020
587,59,Maharashtra,Jalgaon,52,3,,,0,,2020
588,60,Maharashtra,Jalna,82,2,,,0,,2020
589,61,Maharashtra,Kolhapur,87,3,,,0,,2020
590,62,Maharashtra,Latur,58,3,,,0,,2020
591,63,Maharashtra,Mumbai,,0,,,0,,2020
592,64,Maharashtra,Nagpur,93,4,,,0,,2020
593,65,Maharashtra,Nashik,38,4,,,0,,2020
594,66,Maharashtra,Navi Mumbai,50,6,,,0,,2020
595,67,Maharashtra,Pune,106,3,,,0,,2020
596,68,Maharashtra,Sangli,71,3,,,0,,2020
597,69,Maharashtra,Solapur,60,2,,,0,,2020
598,70,Maharashtra,Thane,83,3,,,0,,2020
599,71,Maharashtra,Ulhasnagar,64,2,,,0,,2020
600,72,Maharashtra,Vasai-Virar,,0,,,0,,2020
601,73,Meghalaya,Byrnihat,113,1,,38,1,,2020
602,74,Nagaland,Dimapur,78,7,,,0,,2020
603,75,Nagaland,Kohima,86,2,,,0,,2020
604,76,Orissa,Angul,88,2,,36,2,,2020
605,77,Orissa,Balasore,78,3,,40,3,,2020
606,78,Orissa,Bhubaneswar,80,4,,,0,,2020
607,79,Orissa,Cuttack,92,2,,42,3,,2020
608,80,Orissa,Kalinga Nagar,112,2,,,0,,2020
609,81,Orissa,Rourkela,89,4,,34,7,,2020
610,82,Orissa,Talcher,94,2,,37,2,,2020
611,83,Punjab,Amritsar,166,2,,,0,,2020
612,84,Punjab,Dera Baba Nanak,68,1,,,0,,2020
613,85,Punjab,Dera Bassi,102,2,,,0,,2020
614,86,Punjab,Gobindgarh,109,3,,,0,,2020
615,87,Punjab,Jalandhar,166,4,,,0,,2020
616,88,Punjab,Khanna,,0,,,0,,2020
617,89,Punjab,Ludhiana,161,4,,,0,,2020
618,90,Punjab,Naya Nangal,100,2,,,0,,2020
619,91,Punjab,Patiala,101,2,,,0,,2020
620,92,Rajasthan,Alwar,162,3,,,0,,2020
621,93,Rajasthan,Jaipur,132,9,,,0,,2020
622,94,Rajasthan,Jodhpur,160,9,,,0,,2020
623,95,Rajasthan,Kota,104,5,,,0,,2020
